Player,Team,Position,Games,PPR Fantasy Points,PPR Fantasy Points Per Game,Routes Run,Route Participation Percent,Rushing Snap Count,Rushing Snap Percent,Rushing Attempts,Rushing Yards,Rushing Yards Per Carry,Rushing Touchdowns,Rushing Fumbles,Rushing Fumbles Lost,Rushing First Downs,Red Zone Rush Attempts,Goal Line Rush Attempts,Goal Line Rushing Touchdowns,Rushing EPA,Rushing EPA Per Attempt,Rushing DYAR,Rushing DVOA,Rushing Success Rate,Yards Before Contact,Yards After Contact,Avoided Tackles,Avoided Tackle Percent,Win Yards Per Attempt,Explosive Runs,Explosive Run Rate,Explosive Yards,Explosive Touchdowns,Juke Rate,Stacked Box Yards Per Attempt,Second Level Yards Per Attempt,Open Field Yards Per Attempt,Adjusted Line Yards Per Attempt,Stuffed Rate,Power Run Success Rate,Inside Zone Attempts,Inside Zone Percent,Inside Zone Yards Per Attempt,Outside Zone Attempts,Outside Zone Percent,Outside Zone Yards Per Attempt,Power Attempts,Power Percent,Power Yards Per Attempt,Man/Duo Attempts,Man/Duo Percent,Man/Duo Yards Per Attempt,Counter Attempts,Counter Percent,Counter Yards Per Attempt,Stacked Box Attempts,Stacked Box Percent,Stacked Box Run Yards Per Attempt,Designed Run Attempts,Designed Run Percent,Designed Run Yards Per Attempt,Scramble Attempts,Scramble Percent,Scramble Yards Per Attempt,Rushing Attempt Share,Touches,Touch Share,Rushing Opportunities,Rushing Opportunity Share,Team Rushing Attempt Share,Team Rushing Touch Share,Team Rushing Opportunity Share,Rushing Attempts Per Game,Touches Per Game,Receiving Snap Count,Receiving Snap Percent,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Target,Yards Per Reception,Catch Percent,Yards After Catch,Yards After Catch Per Reception,Receiving First Downs,Longest Reception,100 Plus Yard Games,Targets Per Game,Receptions Per Game,Receiving Yards Per Game,End Zone Targets,End Zone Touchdowns,Receiving EPA,Receiving EPA Per Target,Receiving DYAR,Receiving DVOA,Routes Run Efficiency,Yards Per Route Run,Explosive Receptions,Explosive Reception Rate,Explosive Receiving Yards,Explosive Receiving Touchdowns,Catchable Targets,Catchable Target Rate,Adjusted Catch Percent,Contested Targets,Contested Target Rate,Contested Receptions,Contested Catch Rate,Created Catches,Drops,Drop Rate,Receiving Success Rate,Forced Missed Tackles,Single-High Coverage Target Percent,Single-High Coverage Yards Per Route Run,Two-High Coverage Target Percent,Two-High Coverage Yards Per Route Run,Zero Coverage Target Percent,Zero Coverage Yards Per Route Run,Man Coverage Target Percent,Man Coverage Yards Per Route Run,Zone Coverage Target Percent,Zone Coverage Yards Per Route Run,Tight Coverage Percent,Step Coverage Rate,Open Target Percent,Wide Open Target Percent,Close Coverage Target Percent,Wide Alignment Routes,Wide Alignment Percent,Wide Alignment Yards Per Route Run,Slot Alignment Routes,Slot Alignment Percent,Slot Alignment Yards Per Route Run,Backfield Alignment Routes,Backfield Alignment Percent,Backfield Alignment Yards Per Route Run,Inline Alignment Routes,Inline Alignment Percent,Inline Alignment Yards Per Route Run,Off-Line Alignment Routes,Off-Line Alignment Percent,Off-Line Alignment Yards Per Route Run,Air Yards,Average Depth of Target,Air Yards Per Game,Air Yards Per Route Run,Receiver Air Conversion Ratio,Weighted Opportunity Rating,Team Air Yards Share,Catchable Air Yards,Catchable Air Yards Rate,Prayer Yards,Prayer Yard Rate,Dropped Air Yards,20 Plus Yard Targets,20 Plus Yard Catches,20 Plus Yard Catch Rate,20 Plus Target Percent,20 Plus Yard Receiving Yards,20 Plus Yard Receiving Touchdowns,Target Share,First Read Targets,First Read Target Rate,First Read Target Share,Receiving Opportunities,Receiving Opportunity Share
DeAndre Hopkins,BLT,WR,17.00,67.00,3.94,189.00,40.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.00,31.16,39.00,22.00,330.00,2.00,,,,,,,,,2.29,1.29,19.41,,,9.45,0.24,50.02,3.77,189.00,1.75,5.00,12.82,154.00,2.00,24.00,61.54,91.67,14.00,35.90,9.00,64.29,7.00,1.00,4.17,48.72,0.00,53.97,2.45,39.68,0.99,6.35,0.50,40.74,2.03,59.26,1.55,51.28,7.69,17.95,2.56,20.51,136.00,71.96,2.21,53.00,28.04,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,513.00,13.15,30.18,2.71,0.64,0.23,14.99,301.00,58.67,212.00,41.33,10.00,8.00,3.00,37.50,20.51,93.00,2.00,8.35,29.00,74.36,5.75,39.00,4.00
DeMario Douglas,NE,WR,17.00,95.80,5.64,208.00,37.82,272.00,24.57,7.00,21.00,3.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,-0.97,-0.14,6.29,-19.14,42.86,2.00,1.00,0.00,0.00,1.00,1.00,14.29,14.00,0.00,0.00,2.67,1.14,2.00,0.00,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,85.71,2.67,0.00,0.00,0.00,0.00,0.00,0.00,1.42,38.00,4.44,53.00,5.08,1.84,5.06,5.64,1.17,6.33,272.00,24.57,46.00,31.00,447.00,3.00,,,,,,,,,2.71,1.82,26.29,,,28.14,0.61,77.71,9.33,208.00,2.15,7.00,15.22,264.00,1.00,33.00,71.74,93.94,6.00,13.04,3.00,50.00,2.00,1.00,3.03,56.52,3.00,49.52,3.21,47.12,1.16,3.36,0.29,27.88,3.95,72.11,1.45,21.74,6.52,41.30,23.91,6.52,31.00,14.90,4.45,162.00,77.89,1.76,15.00,7.21,1.53,0.00,0.00,0.00,0.00,0.00,0.00,445.00,9.67,26.18,2.14,1.00,0.19,9.65,233.00,52.36,212.00,47.64,6.00,9.00,4.00,44.44,19.57,192.00,1.00,8.36,25.00,54.35,4.08,53.00,5.08
DeVonta Smith,PHI,WR,17.00,201.80,11.87,478.00,89.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847.00,80.44,113.00,77.00,1008.00,4.00,8.92,13.09,68.14,293.00,3.80,44.00,79.00,2.00,6.65,4.53,59.29,9.00,3.00,55.32,0.49,139.86,3.49,478.00,2.11,14.00,12.39,481.00,2.00,86.00,76.11,89.54,16.00,14.16,6.00,37.50,8.00,5.00,5.81,53.98,3.00,47.07,2.53,44.14,1.69,8.79,1.98,33.89,1.46,66.11,2.44,33.63,8.85,41.59,1.77,14.16,205.00,42.89,3.15,272.00,56.90,1.30,1.00,0.21,7.00,0.00,0.00,0.00,0.00,0.00,0.00,1355.00,11.99,79.71,2.84,0.74,0.53,30.22,842.00,62.14,513.00,37.86,45.00,21.00,8.00,38.10,18.58,335.00,2.00,21.24,84.00,74.34,14.61,113.00,11.19
Deebo Samuel Sr.,WAS,WR,16.00,188.20,11.76,382.00,75.49,658.00,62.43,17.00,75.00,4.41,1.00,1.00,0.00,4.00,4.00,1.00,0.00,0.41,0.02,-0.30,-38.92,29.41,1.06,3.35,3.00,17.65,3.35,2.00,11.76,48.00,1.00,0.00,5.86,0.94,2.82,0.00,35.29,0.00,0.00,0.00,0.00,2.00,11.76,6.00,5.00,29.41,0.60,0.00,0.00,0.00,1.00,5.88,-4.00,7.00,41.18,5.86,4.00,23.53,1.50,0.00,0.00,0.00,3.51,89.00,11.54,116.00,11.72,4.67,13.42,13.15,1.70,8.90,658.00,62.43,99.00,72.00,727.00,5.00,7.34,10.10,72.73,466.00,6.47,32.00,41.00,0.00,6.19,4.50,45.44,6.00,3.00,18.57,0.19,66.71,-3.78,382.00,1.90,10.00,10.10,262.00,2.00,79.00,79.80,91.14,14.00,14.14,5.00,35.71,2.00,7.00,8.86,54.54,14.00,57.59,1.72,37.70,2.06,3.93,2.73,35.60,2.35,63.61,1.63,22.22,17.17,43.43,10.10,7.07,126.00,32.98,2.96,225.00,58.90,1.29,24.00,6.28,2.04,0.00,0.00,0.00,7.00,1.83,2.00,527.00,5.32,32.94,1.38,1.38,0.39,13.18,315.00,59.77,212.00,40.23,54.00,6.00,4.00,66.67,6.06,105.00,1.00,19.57,44.00,44.44,7.72,116.00,11.72
Demarcus Robinson,SF,WR,14.00,55.60,3.97,249.00,41.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.00,35.92,35.00,22.00,276.00,1.00,7.89,12.54,62.86,36.00,1.64,15.00,31.00,0.00,2.50,1.57,19.71,3.00,1.00,6.52,0.19,45.30,3.48,249.00,1.11,5.00,14.29,128.00,1.00,24.00,68.57,91.67,5.00,14.29,4.00,80.00,2.00,1.00,4.17,51.43,1.00,44.98,1.65,54.22,0.67,0.80,0.00,29.72,1.05,70.28,1.13,31.43,14.29,34.29,2.86,17.14,152.00,61.04,1.35,96.00,38.55,0.74,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.40,0.00,472.00,13.49,33.71,1.90,0.58,0.16,10.99,277.00,58.69,195.00,41.31,21.00,9.00,4.00,44.44,25.71,97.00,1.00,5.82,28.00,80.00,4.47,36.00,3.33
Derrick Henry,BLT,RB,17.00,285.50,16.79,182.00,38.97,542.00,53.61,307.00,1595.00,5.20,16.00,4.00,3.00,81.00,63.00,27.00,8.00,7.13,0.02,279.35,11.63,41.69,2.35,2.84,54.00,17.59,2.92,36.00,11.73,787.00,6.00,0.98,4.62,1.28,2.56,4.51,15.31,61.29,61.00,19.87,4.57,124.00,40.39,5.76,42.00,13.68,4.81,43.00,14.01,3.93,16.00,5.21,5.44,218.00,71.01,4.62,2.00,0.65,3.00,0.00,0.00,0.00,60.55,322.00,41.02,328.00,33.68,74.52,41.02,33.68,18.06,18.94,542.00,53.61,21.00,15.00,150.00,0.00,7.14,10.00,71.43,135.00,9.00,4.00,44.00,0.00,1.24,0.88,8.82,0.00,0.00,-2.88,-0.14,34.06,15.69,182.00,0.82,1.00,4.76,44.00,0.00,17.00,80.95,88.24,1.00,4.76,1.00,100.00,0.00,2.00,11.76,52.38,4.00,62.09,1.04,30.77,0.57,7.14,0.00,36.26,0.88,63.74,0.79,9.52,14.29,38.10,33.33,4.76,1.00,0.55,0.00,1.00,0.55,0.00,180.00,98.90,0.83,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.57,0.71,0.07,12.50,0.07,0.35,15.00,125.00,-3.00,-25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,2.00,9.52,0.40,328.00,33.68
Devaughn Vele,NO,WR,13.00,66.30,5.10,232.00,36.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.00,37.08,39.00,25.00,293.00,2.00,7.51,11.72,64.10,34.00,1.36,19.00,17.00,0.00,3.00,1.92,22.54,4.00,2.00,19.76,0.51,72.04,12.06,232.00,1.26,0.00,0.00,0.00,0.00,26.00,66.67,96.15,9.00,23.08,7.00,77.78,3.00,1.00,3.85,61.54,0.00,40.95,1.06,55.17,1.40,3.88,1.44,21.12,1.08,78.88,1.31,43.59,12.82,30.77,0.00,12.82,130.00,56.03,1.14,93.00,40.09,1.50,2.00,0.86,0.00,0.00,0.00,0.00,7.00,3.02,0.86,432.00,11.08,33.23,1.86,0.68,0.16,9.02,259.00,59.95,173.00,40.05,0.00,4.00,0.00,0.00,10.26,0.00,0.00,6.09,29.00,74.36,4.29,39.00,3.63
Devin Neal,NO,RB,9.00,60.00,6.67,164.00,25.62,251.00,22.59,57.00,206.00,3.61,2.00,0.00,0.00,11.00,5.00,2.00,0.00,-7.32,-0.13,8.59,-5.01,35.09,2.25,1.37,9.00,15.79,1.74,3.00,5.26,50.00,0.00,1.75,2.86,0.81,0.88,3.81,15.79,75.00,19.00,33.33,4.05,11.00,19.30,2.82,4.00,7.02,5.25,23.00,40.35,3.35,0.00,0.00,0.00,21.00,36.84,2.86,0.00,0.00,0.00,0.00,0.00,0.00,13.10,74.00,8.89,76.00,7.07,18.57,8.89,7.07,7.12,9.25,251.00,22.59,19.00,17.00,104.00,0.00,,,,,,,,,2.11,1.89,11.56,,,-2.23,-0.12,-13.40,-27.46,164.00,0.63,0.00,0.00,0.00,0.00,18.00,94.74,94.44,0.00,0.00,0.00,0.00,0.00,1.00,5.56,36.84,2.00,43.29,0.34,53.66,0.91,2.44,0.00,18.90,-0.10,80.49,0.81,5.26,10.53,52.63,21.05,10.53,9.00,5.49,0.00,2.00,1.22,0.00,151.00,92.07,0.69,0.00,0.00,0.00,2.00,1.22,0.00,-38.00,-2.00,-4.22,-0.23,-2.74,0.04,-0.79,-34.00,89.47,-4.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.97,1.00,5.26,0.15,76.00,7.07
Devin Singletary,NYG,RB,16.00,106.80,6.68,136.00,23.69,285.00,25.09,119.00,437.00,3.67,5.00,0.00,0.00,27.00,22.00,10.00,2.00,-7.10,-0.06,13.52,-6.04,38.66,1.78,1.89,19.00,15.97,1.99,6.00,5.04,105.00,1.00,1.68,2.57,1.13,0.88,3.76,14.29,46.67,38.00,31.93,3.63,31.00,26.05,3.90,15.00,12.60,3.40,28.00,23.53,3.50,5.00,4.20,3.80,54.00,45.38,2.57,2.00,1.68,12.00,0.00,0.00,0.00,23.29,137.00,16.43,138.00,12.72,29.75,18.32,13.81,7.00,8.06,285.00,25.09,19.00,18.00,151.00,0.00,,,,,,,,,1.19,1.12,9.44,,,2.26,0.12,25.67,11.10,136.00,1.11,2.00,10.53,69.00,0.00,19.00,100.00,94.74,1.00,5.26,1.00,100.00,1.00,1.00,5.26,42.10,4.00,54.41,1.35,40.44,0.89,4.41,0.33,32.35,2.16,66.91,0.62,5.26,10.53,26.32,42.10,15.79,12.00,8.82,0.00,5.00,3.68,0.00,119.00,87.50,1.27,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,-0.63,-0.75,-0.09,-12.58,0.05,-0.27,-12.00,100.00,0.00,-0.00,-1.00,1.00,1.00,100.00,5.26,28.00,0.00,3.31,5.00,26.32,0.80,138.00,12.72
Dont'e Thornton Jr.,LV,WR,14.00,23.50,1.68,242.00,41.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.00,38.56,30.00,10.00,135.00,0.00,4.50,13.50,33.33,38.00,3.80,7.00,36.00,0.00,2.14,0.71,9.64,2.00,0.00,-12.04,-0.40,-83.73,-48.94,242.00,0.56,3.00,10.00,76.00,0.00,14.00,46.67,71.43,12.00,40.00,1.00,8.33,2.00,1.00,7.14,30.00,0.00,46.69,0.52,51.24,0.61,2.07,0.00,27.27,0.38,72.73,0.62,63.33,6.67,16.67,3.33,10.00,161.00,66.53,0.71,81.00,33.47,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,497.00,16.57,35.50,2.05,0.27,0.19,15.49,157.00,31.59,340.00,68.41,-11.00,11.00,2.00,18.18,36.67,56.00,0.00,5.18,20.00,66.67,3.33,30.00,3.16
Dontayvion Wicks,GB,WR,14.00,75.20,5.37,224.00,43.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.00,37.99,46.00,30.00,332.00,2.00,7.22,11.07,65.22,67.00,2.23,21.00,30.00,0.00,3.29,2.14,23.71,3.00,2.00,14.16,0.31,74.73,7.81,224.00,1.48,3.00,6.52,72.00,1.00,34.00,73.91,88.24,12.00,26.09,6.00,50.00,3.00,1.00,2.94,56.52,3.00,46.43,1.73,51.34,1.31,2.23,0.20,30.36,1.90,69.64,1.30,32.61,21.74,26.09,4.35,15.22,115.00,51.34,1.63,102.00,45.54,1.42,0.00,0.00,0.00,0.00,0.00,0.00,7.00,3.12,0.00,517.00,11.24,36.93,2.31,0.64,0.22,12.07,319.00,61.70,198.00,38.30,16.00,7.00,2.00,28.57,15.22,52.00,1.00,8.88,40.00,86.96,7.23,47.00,4.65
Drake London,ATL,WR,12.00,201.90,16.82,382.00,66.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.00,63.50,112.00,68.00,919.00,7.00,8.20,13.52,60.71,229.00,3.37,47.00,43.00,5.00,9.33,5.67,76.58,11.00,7.00,23.73,0.21,155.24,5.08,382.00,2.41,13.00,11.61,397.00,0.00,78.00,69.64,87.18,29.00,25.89,10.00,34.48,7.00,1.00,1.28,53.57,1.00,54.97,2.37,42.93,2.55,2.09,0.38,30.37,2.09,69.63,2.54,36.61,20.54,23.21,3.57,16.07,266.00,69.63,2.20,115.00,30.10,2.90,1.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1221.00,10.90,101.75,3.20,0.75,0.50,29.28,804.00,65.85,417.00,34.15,4.00,17.00,7.00,41.18,15.18,231.00,0.00,19.61,91.00,81.25,15.53,112.00,10.69
Drew Sample,CIN,TE,17.00,31.60,1.86,287.00,42.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.00,51.73,20.00,15.00,106.00,1.00,5.30,7.07,75.00,109.00,7.27,5.00,27.00,0.00,1.18,0.88,6.24,0.00,0.00,2.65,0.13,-9.94,-14.91,287.00,0.37,1.00,5.00,27.00,0.00,16.00,80.00,93.75,2.00,10.00,1.00,50.00,0.00,0.00,0.00,40.00,1.00,50.87,0.15,46.69,0.63,2.44,0.00,30.66,0.47,69.34,0.33,10.00,5.00,45.00,15.00,20.00,13.00,4.53,0.00,20.00,6.97,0.00,64.00,22.30,0.22,52.00,18.12,0.44,138.00,48.08,0.50,-7.00,-0.35,-0.41,-0.02,-15.14,0.04,-0.15,-4.00,57.14,-3.00,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.96,4.00,20.00,0.58,21.00,1.99
Durham Smythe,CHI,TE,17.00,6.50,0.38,101.00,16.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.00,23.45,6.00,4.00,25.00,0.00,,,,,,,,,0.35,0.24,1.47,,,-0.25,-0.04,-10.44,-33.02,101.00,0.25,0.00,0.00,0.00,0.00,6.00,100.00,66.67,1.00,16.67,0.00,0.00,1.00,1.00,16.67,33.33,0.00,52.48,0.08,37.62,0.55,8.91,0.00,25.74,0.15,73.27,0.28,16.67,33.33,16.67,33.33,0.00,7.00,6.93,0.00,8.00,7.92,0.00,22.00,21.78,0.50,38.00,37.62,0.16,26.00,25.74,0.31,24.00,4.00,1.41,0.24,1.04,0.02,0.48,24.00,100.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,16.67,0.16,6.00,0.54
Dyami Brown,JAX,WR,12.00,51.70,4.31,192.00,31.79,340.00,29.93,6.00,30.00,5.00,0.00,1.00,1.00,2.00,1.00,0.00,0.00,-0.67,-0.11,5.36,-25.60,66.67,3.50,1.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,5.00,2.67,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,50.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,26.00,3.12,43.00,3.93,1.52,3.46,4.25,1.20,5.20,340.00,29.93,37.00,20.00,227.00,1.00,,,,,,,,,3.08,1.67,18.92,,,-2.08,-0.06,-2.00,-13.38,192.00,1.18,2.00,5.40,62.00,0.00,27.00,72.97,74.07,2.00,5.40,1.00,50.00,1.00,4.00,14.82,40.54,3.00,56.25,1.24,41.15,1.06,2.60,1.80,22.40,1.40,77.60,1.12,27.03,24.32,37.84,0.00,10.81,141.00,73.44,1.40,49.00,25.52,0.59,2.00,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,518.00,14.00,43.17,2.70,0.44,0.17,10.62,263.00,50.77,255.00,49.23,33.00,7.00,2.00,28.57,18.92,62.00,0.00,6.13,27.00,72.97,4.17,43.00,3.93
Dylan Sampson,CLV,RB,15.00,89.60,5.97,149.00,24.47,233.00,21.94,65.00,175.00,2.69,0.00,0.00,0.00,12.00,7.00,0.00,0.00,-16.82,-0.26,-81.61,-39.89,26.15,0.25,2.45,21.00,32.31,2.45,3.00,4.62,56.00,0.00,0.00,2.55,0.66,0.86,2.60,27.69,100.00,11.00,16.92,2.64,29.00,44.62,3.66,6.00,9.23,1.17,11.00,16.92,3.18,2.00,3.08,0.50,20.00,30.77,2.55,0.00,0.00,0.00,0.00,0.00,0.00,15.44,98.00,13.17,105.00,10.19,16.84,13.17,10.19,4.33,6.53,233.00,21.94,40.00,33.00,271.00,2.00,,,,,,,,,2.67,2.20,18.07,,,6.90,0.17,32.63,1.29,149.00,1.82,2.00,5.00,97.00,1.00,34.00,85.00,97.06,1.00,2.50,0.00,0.00,0.00,1.00,2.94,50.00,5.00,43.62,1.71,55.03,1.95,1.34,0.00,26.17,1.87,73.83,1.80,0.00,15.00,50.00,30.00,5.00,18.00,12.08,1.61,10.00,6.71,1.40,112.00,75.17,1.90,0.00,0.00,0.00,9.00,6.04,1.67,-62.00,-1.55,-4.13,-0.42,-4.37,0.09,-1.64,-48.00,77.42,-14.00,22.58,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,6.57,9.00,22.50,1.40,105.00,10.19
Elic Ayomanor,TEN,WR,16.00,116.50,7.28,488.00,77.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.00,73.03,89.00,41.00,515.00,4.00,5.79,12.56,46.07,115.00,2.80,31.00,39.00,0.00,5.56,2.56,32.19,6.00,3.00,-9.60,-0.11,-2.24,-13.00,488.00,1.06,8.00,8.99,219.00,0.00,53.00,59.55,77.36,20.00,22.47,8.00,40.00,4.00,9.00,16.98,40.45,2.00,53.07,1.07,44.88,1.09,2.05,0.00,28.28,1.10,71.72,1.04,43.82,11.24,33.71,2.25,7.86,402.00,82.38,0.86,84.00,17.21,2.04,1.00,0.20,0.00,0.00,0.00,0.00,1.00,0.20,0.00,1126.00,12.65,70.38,2.31,0.46,0.41,28.05,539.00,47.87,587.00,52.13,106.00,18.00,7.00,38.89,20.23,199.00,0.00,14.22,71.00,79.78,10.94,89.00,8.86
Elijah Arroyo,SEA,TE,13.00,38.90,2.99,161.00,31.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.00,28.57,26.00,15.00,179.00,1.00,,,,,,,,,2.00,1.15,13.77,,,-16.24,-0.62,-53.96,-37.19,161.00,1.11,4.00,15.38,109.00,1.00,16.00,61.54,93.75,7.00,26.92,2.00,28.57,0.00,1.00,6.25,42.31,1.00,45.34,1.48,51.55,0.86,3.11,0.00,25.47,0.56,74.53,1.30,46.15,7.69,38.46,3.85,3.85,27.00,16.77,0.82,39.00,24.22,0.13,3.00,1.86,5.67,28.00,17.39,0.00,64.00,39.75,2.11,220.00,8.46,16.92,1.37,0.81,0.12,5.85,102.00,46.36,118.00,53.64,1.00,5.00,3.00,60.00,19.23,85.00,1.00,5.12,16.00,61.54,3.06,26.00,2.56
Elijah Higgins,ARZ,TE,17.00,60.10,3.54,285.00,40.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.00,39.93,37.00,30.00,301.00,0.00,8.14,10.03,81.08,209.00,6.97,15.00,27.00,0.00,2.18,1.76,17.71,1.00,0.00,1.43,0.04,11.04,-2.47,285.00,1.06,4.00,10.81,97.00,0.00,30.00,81.08,100.00,6.00,16.22,2.00,33.33,0.00,0.00,0.00,51.35,11.00,46.67,0.80,50.18,1.23,2.81,2.25,26.32,0.65,73.33,1.21,13.51,8.11,40.54,16.22,18.92,28.00,9.82,0.93,115.00,40.35,0.57,10.00,3.51,2.60,35.00,12.28,0.94,97.00,34.03,1.55,148.00,4.00,8.71,0.52,2.03,0.10,3.18,92.00,62.16,56.00,37.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.23,12.00,32.43,1.61,37.00,3.44
Elijah Moore,BUF,WR,9.00,28.60,3.18,100.00,18.69,175.00,15.46,6.00,24.00,4.00,1.00,0.00,0.00,3.00,1.00,1.00,0.00,-0.52,-0.09,17.60,-6.46,50.00,3.00,1.00,1.00,16.67,1.67,1.00,16.67,11.00,0.00,16.67,4.67,1.33,1.83,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,50.00,4.67,0.00,0.00,0.00,0.00,0.00,0.00,1.10,15.00,1.68,23.00,2.13,1.41,1.93,2.37,1.20,3.00,175.00,15.46,17.00,9.00,112.00,0.00,,,,,,,,,1.89,1.00,12.44,,,-3.89,-0.23,-34.24,-39.03,100.00,1.12,3.00,17.65,89.00,0.00,13.00,76.47,69.23,3.00,17.65,1.00,33.33,0.00,1.00,7.69,29.41,2.00,61.00,1.77,38.00,0.10,1.00,0.00,33.00,1.36,67.00,1.00,29.41,11.76,35.29,17.65,5.88,62.00,62.00,0.68,35.00,35.00,2.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142.00,8.35,15.78,1.42,0.79,0.08,3.93,74.00,52.11,68.00,47.89,-4.00,2.00,1.00,50.00,11.76,28.00,0.00,3.18,8.00,47.06,1.37,23.00,2.13
Emanuel Wilson,GB,RB,16.00,92.50,5.78,151.00,29.15,302.00,28.90,125.00,496.00,3.97,3.00,0.00,0.00,32.00,24.00,4.00,2.00,-8.88,-0.07,94.02,8.63,44.00,1.17,2.80,28.00,22.40,2.80,12.00,9.60,145.00,1.00,0.00,3.30,1.09,1.16,4.42,11.20,81.82,39.00,31.20,3.92,42.00,33.60,4.83,4.00,3.20,4.00,30.00,24.00,3.53,0.00,0.00,0.00,43.00,34.40,3.30,0.00,0.00,0.00,0.00,0.00,0.00,25.41,140.00,17.07,142.00,14.06,29.90,17.07,14.06,7.81,8.75,302.00,28.90,17.00,15.00,99.00,0.00,,,,,,,,,1.06,0.94,6.19,,,-0.04,-0.00,-8.76,-23.04,151.00,0.66,1.00,5.88,25.00,0.00,16.00,94.12,93.75,0.00,0.00,0.00,0.00,0.00,1.00,6.25,47.06,5.00,52.98,0.74,43.05,0.45,3.97,1.83,32.45,0.22,67.55,0.86,5.88,0.00,47.06,23.53,23.53,8.00,5.30,0.00,3.00,1.99,0.00,135.00,89.40,0.65,0.00,0.00,0.00,5.00,3.31,2.20,-32.00,-1.88,-2.00,-0.21,-3.09,0.04,-0.75,-39.00,121.88,7.00,-21.88,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.28,1.00,5.88,0.18,142.00,14.06
