position,bucket,n,mean_residual_pct,median_residual_pct,mean_residual_points,mean_actual_fp,mean_expected_fp,weather_mean,weather_variable
TE,10-14.9,779,0.05276516009931466,-0.10052555433357138,-0.3436769344484043,11.643697047496792,11.987373981945197,11.966752246469834,wind_speed_mph_avg
TE,15-19.9,222,-0.11145775443132987,-0.18209746136106675,-1.607111737612444,11.19963963963964,12.806751377252084,16.989864864864863,wind_speed_mph_avg
TE,20-24.9,36,-0.20976896681756163,-0.2917624407149597,-3.286799134184704,9.588888888888889,12.875688023073593,21.36111111111111,wind_speed_mph_avg
TE,25+,8,-0.3662006715257237,-0.23864007016344918,-5.5362428855673524,9.1625,14.698742885567352,27.525,wind_speed_mph_avg
WR,<10,2577,0.044026257094715304,-0.009011353275044673,0.5503991015528807,33.55745440434614,33.00705530279326,5.973156771439659,wind_speed_mph_avg
WR,10-14.9,785,-0.03974552793794121,-0.08539544929117332,-2.0540980623702834,30.64168152866242,32.695779591032704,11.967547770700637,wind_speed_mph_avg
WR,15-19.9,222,-0.03156011001279504,-0.09305197971562276,-1.3921896008750283,31.064954954954956,32.457144555829984,16.989864864864863,wind_speed_mph_avg
WR,20-24.9,36,-0.12558430161438683,-0.18420793385442324,-5.495171709008044,26.794444444444444,32.28961615345249,21.36111111111111,wind_speed_mph_avg
WR,25+,8,-0.46139228832556056,-0.40539689977417437,-14.612531532511827,17.4375,32.05003153251183,27.525,wind_speed_mph_avg
DST,<15,1157,0.05537294105679924,-0.17171546473015065,-0.16916864492449868,5.076058772687986,5.245227417612485,11.191789109766637,wind_gust_mph_max
DST,15-24.9,1650,0.07623676394441961,-0.11227768300112526,-0.07197021229232063,5.225454545454546,5.2974247577468665,19.498969696969695,wind_gust_mph_max
DST,25-34.9,589,0.2103914392647403,0.0055544323088077,0.5931061519082389,5.899830220713073,5.306724068804834,28.756876061120543,wind_gust_mph_max
DST,35-44.9,135,0.01385622182651115,-0.23362688376004684,-0.29266777729429994,4.881481481481481,5.174149258775782,38.69481481481482,wind_gust_mph_max
DST,45+,25,-0.10491100348428778,-0.1749265009843909,-0.9960638328485578,4.16,5.156063832848559,51.092,wind_gust_mph_max
K,<15,1172,0.08240102051695233,-0.0104000207107647,0.24976815139219197,8.09470989761092,7.84494174621873,11.185494880546075,wind_gust_mph_max
K,15-24.9,1685,0.05742323131567252,-0.0524271089308969,0.011995809839365415,7.9091988130563795,7.897203003217014,19.482314540059345,wind_gust_mph_max
K,25-34.9,597,0.01529027239681986,-0.05669330389205038,-0.3343134836921841,7.385259631490787,7.719573115182972,28.748408710217753,wind_gust_mph_max
