position,weather_variable,outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p
RB,temperature_f_avg,fantasy_points,3628,-0.011676777527484685,0.4819887212246341,-0.020060708534131343,0.22703978116903953
RB,temperature_f_avg,residual_points,3628,0.003386603496703653,0.8384197833117236,-0.0073803922120397126,0.6567569175037059
RB,temperature_f_avg,residual_pct,3628,0.011700774249587584,0.48108870419614075,-0.004631840915906459,0.7803258036766313
RB,wind_speed_mph_avg,fantasy_points,3628,0.013527121003556556,0.415339120293543,0.007262386868547935,0.6619013988322234
RB,wind_speed_mph_avg,residual_points,3628,0.00188946545171778,0.9094210465213787,-0.00389864366812227,0.8144054840309455
RB,wind_speed_mph_avg,residual_pct,3628,0.007851181880017138,0.6363960932212158,0.0012911676474458805,0.9380317085038242
RB,wind_gust_mph_max,fantasy_points,3628,0.021962394104622092,0.18598109976229024,0.01317207004671801,0.4276888393037931
RB,wind_gust_mph_max,residual_points,3628,0.012554359842099584,0.4496764899817259,0.0034480290978378784,0.8355305461039452
RB,wind_gust_mph_max,residual_pct,3628,0.017610906216526126,0.28892977344429477,0.008758989408277887,0.5979106474900975
RB,rain_mm_h_avg,fantasy_points,3628,-0.012900274966716497,0.4372854552507145,-0.030694368251624103,0.06451433680286336
RB,rain_mm_h_avg,residual_points,3628,-0.012413376380169575,0.4547831812757487,-0.012187644633257532,0.46302721698565846
RB,rain_mm_h_avg,residual_pct,3628,-0.009921275380711284,0.550243171944635,-0.012993200035899077,0.4339905718825101
RB,snow_cm_h_avg,fantasy_points,3628,-0.00031745966120577993,0.9847494280624662,0.03280705574938187,0.04816447278823094
RB,snow_cm_h_avg,residual_points,3628,0.0010307621341091133,0.9505115507706251,0.024944572890722487,0.13304560023953538
RB,snow_cm_h_avg,residual_pct,3628,0.0004264424934529036,0.9795149611558271,0.025342870840031784,0.12696175149514638
TE,temperature_f_avg,fantasy_points,3614,0.01390732196203654,0.4032609774960598,0.014643987234988274,0.37881126641611096
TE,temperature_f_avg,residual_points,3614,0.038238954381607466,0.02151404652631075,0.03698203766086582,0.026200696763144703
TE,temperature_f_avg,residual_pct,3614,0.03622684647488186,0.02942133313229199,0.0339480199202646,0.041278652287970154
TE,wind_speed_mph_avg,fantasy_points,3614,-0.06825901167088153,4.0106132009317586e-05,-0.0541235402000691,0.0011339996130460728
TE,wind_speed_mph_avg,residual_points,3614,-0.0724785720572795,1.2923796554440698e-05,-0.05047628443147207,0.0024026034577001388
TE,wind_speed_mph_avg,residual_pct,3614,-0.07120912555827243,1.828984797297761e-05,-0.05051775168541801,0.0023827868934020407
TE,wind_gust_mph_max,fantasy_points,3614,-0.07398825414662726,8.488273654311553e-06,-0.06928183333138345,3.0653867045369725e-05
TE,wind_gust_mph_max,residual_points,3614,-0.07343490368372711,9.911582080012756e-06,-0.057683062367522096,0.0005216296957791678
